"","TITRE","sortie","Y"
"339","HOTEL TRANSYLVANIE",2013-02-13,1700011
"340","HOTEL TRANSYLVANIE 2",2015-10-07,2298078
"341","HOTEL TRANSYLVANIE 3 : DES VACANCES MONSTRUEUSES",2018-07-25,3073504
"342","HULK",2003-07-02,1665264
"343","HUNGER GAMES",2012-03-21,1730099
"344","HUNGER GAMES - LA RÉVOLTE PARTIE 1",2014-11-19,3124933
"345","HUNGER GAMES : L'EMBRASEMENT",2013-11-27,2919171
"346","HUNGER GAMES : LA REVOLTE, 2e PARTIE",2015-11-18,2773963
"347","I, ROBOT",2004-07-28,2088022
"348","IL A DEJA TES YEUX",2017-01-18,1388523
"349","IL ETAIT UNE FOIS",2007-11-28,2186407
"350","IMITATION GAME",2015-01-28,1088829
"351","IMMORTEL (L')",2010-03-24,1130208
"352","INCEPTION",2010-07-21,4939235
"353","INCOGNITO",2009-04-29,1238699
"354","INCROYABLE HULK (L')",2008-07-23,1028315
"355","INDEPENDENCE DAY  : RESURGENCE",2016-07-20,1291364
"356","INDESTRUCTIBLES (LES)",2004-11-24,4924015
"357","INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL",2008-05-21,4214497
"358","INDIGÈNES",2006-09-27,3023912
"359","INFIDÈLES (LES)",2012-02-29,2259752
"360","INFILTRES (LES)",2006-11-29,1476303
"361","INGLOURIOUS BASTERDS",2009-08-19,2833953
"362","INSAISISSABLES",2013-07-31,3008058
"363","INSAISISSABLES 2",2016-07-27,2102703
"364","INSEPARABLES",2019-09-04,1039565
"365","INSIDE MAN",2006-04-12,1175442
"366","INTERSTELLAR",2014-11-05,2575268
"367","INTO THE WILD",2008-01-09,1416826
"368","INTOLERABLE CRUAUTE",2003-11-19,1186689
"369","INTOUCHABLES",2011-11-02,19499876
"370","INVASIONS BARBARES (LES)",2003-09-24,1194460
"371","INVICTUS",2010-01-13,3167854
"372","INVISIBLES (LES)",2019-01-09,1336321
"373","IRON MAN",2008-04-30,2040487
"374","IRON MAN 2",2010-04-28,2578356
"375","IRON MAN 3",2013-04-24,4311506
"376","ITALIEN (L')",2010-07-14,1109693
"377","IVRESSE DU POUVOIR (EX:LA COMÉDIE DU POUVOIR)",2006-02-22,1078401
