"","x"
"845","H11_attacking_work_rate"
"846","H11_defensive_work_rate"
"847","H11_crossing"
"848","H11_finishing"
"849","H11_heading_accuracy"
"850","H11_short_passing"
"851","H11_volleys"
"852","H11_dribbling"
"853","H11_curve"
"854","H11_free_kick_accuracy"
"855","H11_long_passing"
"856","H11_ball_control"
"857","H11_acceleration"
"858","H11_sprint_speed"
"859","H11_agility"
"860","H11_reactions"
"861","H11_balance"
"862","H11_shot_power"
"863","H11_jumping"
"864","H11_stamina"
"865","H11_strength"
"866","H11_long_shots"
"867","H11_aggression"
"868","H11_interceptions"
"869","H11_positioning"
"870","H11_vision"
"871","H11_penalties"
"872","H11_marking"
"873","H11_standing_tackle"
"874","H11_sliding_tackle"
"875","H11_gk_diving"
"876","H11_gk_handling"
"877","H11_gk_kicking"
"878","H11_gk_positioning"
"879","H11_gk_reflexes"
"880","A11_overall_rating"
"881","A11_potential"
"882","A11_preferred_foot"
"883","A11_attacking_work_rate"
"884","A11_defensive_work_rate"
"885","A11_crossing"
"886","A11_finishing"
"887","A11_heading_accuracy"
"888","A11_short_passing"
"889","A11_volleys"
"890","A11_dribbling"
"891","A11_curve"
"892","A11_free_kick_accuracy"
"893","A11_long_passing"
"894","A11_ball_control"
"895","A11_acceleration"
"896","A11_sprint_speed"
"897","A11_agility"
"898","A11_reactions"
"899","A11_balance"
"900","A11_shot_power"
"901","A11_jumping"
"902","A11_stamina"
"903","A11_strength"
"904","A11_long_shots"
"905","A11_aggression"
"906","A11_interceptions"
"907","A11_positioning"
"908","A11_vision"
"909","A11_penalties"
"910","A11_marking"
"911","A11_standing_tackle"
"912","A11_sliding_tackle"
"913","A11_gk_diving"
"914","A11_gk_handling"
"915","A11_gk_kicking"
"916","A11_gk_positioning"
"917","A11_gk_reflexes"
"918","H11_height"
"919","H11_weight"
"920","A11_height"
"921","A11_weight"
"922","A1_age"
"923","H1_age"
"924","A2_age"
"925","H2_age"
"926","A3_age"
"927","H3_age"
"928","A4_age"
"929","H4_age"
"930","A5_age"
"931","H5_age"
"932","A6_age"
"933","H6_age"
"934","A7_age"
"935","H7_age"
"936","A8_age"
"937","H8_age"
"938","A9_age"
"939","H9_age"
"940","A10_age"
"941","H10_age"
"942","A11_age"
"943","H11_age"
"944","Y"
